,subject,mean_rotation,mean_speed,duration,gaze_left_count,gaze_right_count,rotation_left_count,rotation_right_count,sit_a_duration,sit_b_duration,sit_c_duration,sit_d_duration,sit_e_duration,sit_a_standtime,sit_b_standtime,sit_c_standtime,sit_d_standtime,sit_e_standtime,sit_a_left_rotations,sit_b_left_rotations,sit_c_left_rotations,sit_d_left_rotations,sit_e_left_rotations,sit_a_right_rotations,sit_b_right_rotations,sit_c_right_rotations,sit_d_right_rotations,sit_e_right_rotations,sit_a_left_angle,sit_b_left_angle,sit_c_left_angle,sit_d_left_angle,sit_e_left_angle,sit_a_right_angle,sit_b_right_angle,sit_c_right_angle,sit_d_right_angle,sit_e_right_angle,sit_a_left_duration,sit_b_left_duration,sit_c_left_duration,sit_d_left_duration,sit_e_left_duration,sit_a_right_duration,sit_b_right_duration,sit_c_right_duration,sit_d_right_duration,sit_e_right_duration,sit_a_safety,sit_b_safety,sit_c_safety,sit_d_safety,sit_e_safety,sit_a_difficulty,sit_b_difficulty,sit_c_difficulty,sit_d_difficulty,sit_e_difficulty
0,Subject 1,-93.86532463739982,14.047306975416552,1402.066792011261,134.0,98.0,214.0,161.0,78.00154113769531,,27.99676513671875,0.0,18.500097274780273,51.99593734741211,,4.250497817993164,0.0,5.110328674316406,16.0,,6.5,0.0,4.888888888888889,10.5,,4.5,0.0,2.5555555555555554,-49.688011169433594,,-50.43067932128906,0.0,-40.579898834228516,140.1734161376953,,131.3616943359375,0.0,92.20149230957031,1.43747878074646,,1.4615546464920044,0.0,0.5002622604370117,0.6194208860397339,,0.05505233258008957,0.0,0.5216355323791504,3.0,4.0,4.0,5.0,5.0,5.0,1.0,3.0,1.0,1.0
1,Subject 2,24.293883188010632,13.826228124711683,1496.7096680402756,112.0,71.0,99.0,76.0,25.998516082763672,,27.99798583984375,0.0,23.94503402709961,7.999782562255859,,0.0,0.0,6.277898788452148,3.0,,3.5,0.0,2.5555555555555554,0.5,,0.5,0.0,1.5555555555555556,-50.64213180541992,,-46.474178314208984,0.0,-49.45112228393555,39.61357116699219,,25.352497100830078,0.0,47.048797607421875,0.9166352152824402,,0.35662317276000977,0.0,0.7822235226631165,1.5023150444030762,,0.0,0.0,1.0708688497543335,5.0,5.0,4.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0
2,Subject 3,30.052618330445384,14.42350503267072,1333.0554070472715,62.0,40.0,72.0,51.0,30.000076293945312,,46.5001220703125,0.0,20.276676177978516,12.500151634216309,,13.998271942138672,0.0,4.555385589599609,3.5,,5.5,0.0,2.2222222222222223,0.5,,0.0,0.0,1.4444444444444444,-35.99625778198242,,-44.295799255371094,0.0,-51.12609100341797,40.457923889160156,,,0.0,39.83638000488281,0.49959641695022583,,0.27187564969062805,0.0,1.0496267080307007,0.5000079870223999,,,0.0,1.423370361328125,4.0,5.0,2.0,4.0,4.0,1.0,1.0,4.0,3.0,2.0
3,Subject 4,-73.67931872147898,12.255428499697931,1567.5608431100843,146.0,107.0,169.0,130.0,43.49965286254883,,27.5035400390625,0.0,19.72244644165039,24.004064559936523,,3.2480225563049316,0.0,4.945329189300537,5.0,,2.5,0.0,2.888888888888889,4.0,,1.5,0.0,2.7777777777777777,-54.370361328125,,-54.908409118652344,0.0,-51.90174102783203,32.31499481201172,,31.413772583007812,0.0,48.6815185546875,1.1000171899795532,,0.5000666379928589,0.0,0.9042549729347229,2.625006675720215,,0.0,0.0,0.5798300504684448,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
4,Subject 5,-54.50818984313964,12.135509273937801,1712.5643739700315,92.0,89.0,148.0,159.0,91.50208282470703,,20.50030517578125,0.0,25.87397575378418,58.99816131591797,,0.0,0.0,8.062023162841797,7.0,,3.0,0.0,3.125,5.0,,1.0,0.0,2.375,-50.8088493347168,,-56.09220504760742,0.0,-41.169158935546875,30.523595809936523,,20.000442504882812,0.0,32.5923957824707,1.4279049634933472,,0.16665832698345184,0.0,0.7197988033294678,1.399154543876648,,0.0,0.0,0.7628176808357239,4.0,2.0,3.0,4.0,3.0,1.0,4.0,3.0,1.0,2.0
5,Subject 6,72.32947056310898,12.821281816011773,1483.615329027176,90.0,78.0,90.0,84.0,65.00135803222656,,22.500457763671875,0.0,28.83506202697754,35.000022888183594,,0.0,0.0,11.610416412353516,5.0,,2.5,0.0,3.0,4.0,,0.5,0.0,1.8888888888888888,-43.96477127075195,,-50.26163864135742,0.0,-45.286434173583984,28.034317016601562,,28.502439498901367,0.0,48.432071685791016,1.5502324104309082,,0.300265371799469,0.0,0.9628925919532776,1.4376007318496704,,0.0,0.0,0.8526838421821594,4.0,5.0,3.0,4.0,4.0,1.0,1.0,2.0,3.0,2.0
6,Subject 7,-72.85587142275672,13.344180023593147,1464.6618000268936,171.0,97.0,206.0,129.0,34.50102615356445,,61.00103759765625,0.0,22.944080352783203,11.500018119812012,,31.500743865966797,0.0,4.500665664672852,6.0,,9.0,0.0,4.333333333333333,3.0,,5.5,0.0,1.7777777777777777,-51.865352630615234,,-57.90305709838867,0.0,-53.03556823730469,44.66217041015625,,87.75714111328125,0.0,38.946075439453125,0.5002593398094177,,0.49995607137680054,0.0,0.5002976655960083,1.331891417503357,,0.5456383228302002,0.0,0.343597948551178,5.0,5.0,5.0,5.0,5.0,2.0,1.0,3.0,1.0,1.0
7,Subject 8,-49.68445934818265,13.755287100781528,1439.0566629171371,135.0,85.0,116.0,84.0,69.00346374511719,,43.005859375,0.0,17.278751373291016,42.0020866394043,,11.9975004196167,0.0,1.5003172159194946,7.5,,5.0,0.0,2.6666666666666665,3.5,,1.5,0.0,1.5555555555555556,-36.87256622314453,,-58.597984313964844,0.0,-57.7242546081543,25.313806533813477,,69.96449279785156,0.0,42.034366607666016,1.433546781539917,,0.4983604848384857,0.0,0.6034135818481445,2.0718369483947754,,0.8335897326469421,0.0,0.39286306500434875,5.0,4.0,5.0,2.0,5.0,1.0,3.0,2.0,4.0,1.0
Total,,-27.2396489864241,13.326090855852643,1487.4113595187664,117.75,83.125,139.25,109.25,54.6884651184082,,34.62575912475586,0.0,22.172016143798828,30.500028610229492,,8.124380111694336,0.0,5.820295333862305,6.625,,4.6875,0.0,3.2100694444444446,3.875,,1.875,0.0,1.9913194444444442,-46.776039123535156,,-52.3704948425293,0.0,-48.78428649902344,47.63672637939453,,56.33606719970703,0.0,48.72163772583008,1.1082088947296143,,0.5069200396537781,0.0,0.7528462409973145,1.4359042644500732,,0.2048971951007843,0.0,0.7434584498405457,4.25,4.25,3.625,4.125,4.25,1.875,1.875,2.625,2.125,1.625
